username,repo_name,repo_url,repo_stars
atom,atom,https://github.com/atom/atom,59000
themerdev,themer,https://github.com/themerdev/themer,5000
miniflux,v2,https://github.com/miniflux/v2,4400
nteract,hydrogen,https://github.com/nteract/hydrogen,3800
shd101wyy,markdown-preview-enhanced,https://github.com/shd101wyy/markdown-preview-enhanced,3800
atom,teletype,https://github.com/atom/teletype,2400
mmcdole,gofeed,https://github.com/mmcdole/gofeed,2000
mehcode,awesome-atom,https://github.com/mehcode/awesome-atom,1900
NaiboWang,CommandlineConfig,https://github.com/NaiboWang/CommandlineConfig,1800
kurtmckee,feedparser,https://github.com/kurtmckee/feedparser,1500
joefitzgerald,go-plus,https://github.com/joefitzgerald/go-plus,1500
Glavin001,atom-beautify,https://github.com/Glavin001/atom-beautify,1500
simplepie,simplepie,https://github.com/simplepie/simplepie,1500
ocaml,merlin,https://github.com/ocaml/merlin,1400
t9md,atom-vim-mode-plus,https://github.com/t9md/atom-vim-mode-plus,1400
MagicStack,MagicPython,https://github.com/MagicStack/MagicPython,1400
atom,apm,https://github.com/atom/apm,1300
file-icons,atom,https://github.com/file-icons/atom,1200
feeddd,feeds,https://github.com/feeddd/feeds,1200
kettanaito,atomic-layout,https://github.com/kettanaito/atomic-layout,1100
