username,repo_name,repo_url,repo_stars
amphp,amp,https://github.com/amphp/amp,3800
danog,MadelineProto,https://github.com/danog/MadelineProto,2200
amphp,http-server,https://github.com/amphp/http-server,1200
unreal4u,telegram-api,https://github.com/unreal4u/telegram-api,743
amphp,http-client,https://github.com/amphp/http-client,641
amphp,parallel,https://github.com/amphp/parallel,621
php-service-bus,service-bus,https://github.com/php-service-bus/service-bus,336
amphp,byte-stream,https://github.com/amphp/byte-stream,317
amphp,mysql,https://github.com/amphp/mysql,299
amphp,parallel-functions,https://github.com/amphp/parallel-functions,237
amphp,process,https://github.com/amphp/process,203
amphp,socket,https://github.com/amphp/socket,178
amphp,redis,https://github.com/amphp/redis,134
amphp,dns,https://github.com/amphp/dns,130
amphp,sync,https://github.com/amphp/sync,129
kelunik,acme,https://github.com/kelunik/acme,118
amphp,websocket-client,https://github.com/amphp/websocket-client,111
amphp,serialization,https://github.com/amphp/serialization,93
PeeHaa,mailgrab,https://github.com/PeeHaa/mailgrab,92
amphp,websocket-server,https://github.com/amphp/websocket-server,89
